,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,kon_C,kon_O_95CI_low,kon_O_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
54,Eucalyptus moorei,moorei_galmes,1,0,False,10,0.3,3.2,0.1,,,285,11,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
55,Eucalyptus neglecta,neglecta_galmes,1,0,False,7.9,0.2,2.5,0.1,,,230,12,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
56,Iris douglasiana,douglasiana_galmes,1,0,False,9.7,0.6,3.5,0.2,,,413,22,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
57,Limonium latebracteatum,latebracteatum_galmes,1,0,False,8.8,1,2.7,0.1,,,344,7,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
58,Limonium stenophyllum,stenophyllum_galmes,1,0,False,8.4,0.2,2.6,0.1,,,457,36,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
59,Limonium virgatum,virgatum_galmes,1,0,False,8.5,0.2,2.4,0.1,,,381,35,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
60,Pallenis maritima,maritima_galmes,1,0,False,6.4,0.3,2.7,0.1,,,321,20,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
61,Sideritis cretica subsp. spicata,cretica_galmes,1,0,False,7.8,0.1,2,0.3,,,328,16,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
62,Teucrium heterophyllum,heterophyllum_galmes,1,0,False,6.7,0.1,2.7,0.1,,,359,65,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
63,Trachycarpus fortunei,fortunei_galmes,1,0,False,9,0.8,2.8,0.1,,,364,21,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
64,Triticum aestivum cv. Alexandria,aestivum_galmes,1,0,False,10.3,0.1,4,0.1,,,414,7,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
65,Glycine max,max_jordan81,1,0,False,9,0.784,,,82,5,430,56.2,,,,,,,,,,,,25,8.3,1,C3 plants,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a4,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
66,Lolium perenne,perenne_jordan81,1,0,False,16,1.39,,,80,1,500,65.4,,,,,,,,,,,,25,8.3,1,C3 plants,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a2,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
67,Tetragonium expansa,expansa_jordan81,1,0,False,13,1.13,,,81,1,600,78.5,,,,,,,,,,,,25,8.3,1,C3 plants,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a3,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
68,Helianthus maximus,maximus_jordan83,1,0,False,10,0.4,,,77,3,,,,,,,,,,,,,,25,8.3,1,C3 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
69,Lycopersicon ensculentum,ensculentum_jordan83,1,0,False,8.2,0.6,,,82,2,,,,,,,,,,,,,,25,8.3,1,C3 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
70,Medicago sativa,sativa_jordan83,1,0,False,15.7,0.2,,,77,3,,,,,,,,,,,,,,25,8.3,1,C3 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
71,Petroselinum cripsum,cripsum_jordan83,1,0,False,11.6,0.5,,,77,2,,,,,,,,,,,,,,25,8.3,1,C3 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
72,Hordeum vulgare cv. Stirling,vulgare_kane,1,0,False,,,,,86.8,1.2,,,,,,,,,,,,,,25,8.3,1,C3 plants,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940456,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-468"
73,Nicotiana tabacum,tabacum_kane,1,0,False,,,,,81.9,1,,,,,,,,,,,,,,25,8.3,1,C3 plants,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940452,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-464"
74,Oryza punctata Kotschy,punctata_kane,1,0,False,,,,,85,1.3,,,,,,,,,,,,,,25,8.3,1,C3 plants,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940454,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-466"
75,Spinacia oleracea,oleracea_kane,1,0,False,,,,,82.1,0.8,,,,,,,,,,,,,,25,8.3,1,C3 plants,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940451,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-463"
76,Triticum aestivum,aestivum_kane,1,0,False,,,,,89.9,1,,,,,,,,,,,,,,25,8.3,1,C3 plants,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940455,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-467"
77,Chenopodium alba,alba_kubien,1,0,False,11.2,2.8,2.91,0.07,78.7,1,415,16,1.38,0.911,2.71,0.261,0.0022,0.00647,0.00332,0.0022,0.00647,10.9,0.9,25,8,1,C3 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
78,Flaveria cronquistii ,cronquistii_kubien,1,0,False,10.8,0.4,3.13,0.25,81,2,653,36,2.33,1.87,2.86,0.29,0.00296,0.00427,0.00357,0.00296,0.00427,20.2,1.5,25,8,1,C3 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
79,Flaveria pringlei,pringlei_kubien,1,0,False,12,2.1,3.11,0.2,80.8,1.2,666,28,2.14,1.53,3.31,0.259,0.00231,0.00491,0.00321,0.00231,0.00491,18,1.7,25,8,1,C3 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
80,Spinacia oleracea,oleracea_kubien,1,0,False,12.1,0.8,3.2,0.09,79.8,0.5,574,19,1.9,1.64,2.24,0.264,0.0029,0.00385,0.00331,0.0029,0.00385,14.1,0.8,25,8,1,C3 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
81,Trifolium repens (native ecotype),repens_galmes,,0,,20.8,1.16,,,,,619,105,,,,,,,,,,,,25,,1,C3 plants,,Lehnherr 1985,,"Lehnherr B, Machler F, Nosberger J. 1985. Influence of temperature on the ratio of ribulose bisphosphate carboxylase to oxygenase activities and on the ratio of photosynthesis to photorespiration of leaves. Journal of Experimental Botany 168, 1117–1125."
82,Flaveria cronquistii,cronquistii_perdomo,,,,9.7,0.1,2.95,0.1,88.2,1.2,,,,,,,,,,,,22.3,1.1,25,,1,C3 plants,,Perdomo 2015,25663529,"Perdomo JA, Cavanagh AP, Kubien DS, Galmes J. 2015. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynthesis Research 124, 67–75."
83,Flaveria pringlei,pringlei_galmes,,0,,11.4,1,2.48,0.27,90.1,1.4,,,,,,,,,,,,23.6,1.7,25,,1,C3 plants,,Perdomo 2015,25663529,"Perdomo JA, Cavanagh AP, Kubien DS, Galmes J. 2015. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynthesis Research 124, 67–75."
84,Aegilops biuncialis,biuncialis_prins,1,0,False,16.8,2.9,3.2,0.188,96.3,4.9,469.9,15.1,0.932,0.664,1.44,0.19,0.00142,0.00305,0.00199,0.00142,0.00305,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
85,Aegilops comosa,comosa_prins,1,0,False,13.5,2.1,2.86,0.168,106,4.3,359.5,9,0.718,0.53,1.07,0.211,0.00148,0.00297,0.002,0.00148,0.00297,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
86,Aegilops cylindrica,cylindrica_prins,1,0,False,13.7,2.9,3.68,0.216,109,3.8,451,11.4,1.11,0.756,1.92,0.268,0.00168,0.00426,0.00247,0.00168,0.00426,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
87,Aegilops juvenalis,juvenalis_prins,1,0,False,20.6,3.8,3.25,0.19,90.4,6.4,492,21.5,0.86,0.593,1.39,0.157,0.00122,0.00282,0.00175,0.00122,0.00282,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
88,Aegilops speltoides,speltoides_prins,1,0,False,16.5,3.2,3.24,0.19,102,5.6,446.9,11,0.861,0.598,1.41,0.196,0.00134,0.00314,0.00193,0.00134,0.00314,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
89,Aegilops tauschii,tauschii_prins,1,0,False,14.9,1.8,2.86,0.168,107,8.3,495,27.5,0.895,0.654,1.26,0.192,0.00136,0.00251,0.00181,0.00136,0.00251,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
90,Aegilops triuncialis,triuncialis_prins,1,0,False,12.8,2.2,2.62,0.154,103,5.9,380,8.8,0.76,0.541,1.17,0.205,0.00143,0.00307,0.002,0.00143,0.00307,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
91,Aegilops uniaristata,uniaristata_prins,1,0,False,13.8,2.3,2.7,0.158,102,1.1,450.5,18.1,0.866,0.631,1.31,0.196,0.00142,0.00289,0.00193,0.00142,0.00289,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
92,Aegilops vavilovii,vavilovii_prins,1,0,False,13.3,1.9,3.32,0.195,109,3,362.6,26.9,0.835,0.604,1.21,0.25,0.00174,0.00327,0.0023,0.00174,0.00327,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
93,B. distachyon,distachyon_prins,1,0,False,11.9,2.5,2.05,0.12,111,4,395.7,18.8,0.614,0.417,1.09,0.172,0.00107,0.00272,0.00155,0.00107,0.00272,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
94,H. vulgare cv. Lenins,vulgare_lenins_prins,1,0,False,15.2,2.4,3.99,0.234,102,5.2,465.3,27.8,1.2,0.854,1.79,0.263,0.00188,0.00381,0.00258,0.00188,0.00381,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
95,S. cereale cv. Agronom,cereale_agronom_prins,1,0,False,20.2,2.1,3.23,0.189,91.5,4.1,472.4,12.9,0.827,0.645,1.09,0.16,0.00138,0.00229,0.00175,0.00138,0.00229,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
96,T. aestivum (C),aestivumC_prins,1,0,False,16,1.2,3.57,0.209,100,6,401.5,8.4,0.9,0.718,1.13,0.224,0.0018,0.0028,0.00224,0.0018,0.0028,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
97,T. aestivum SATYN1,aestivumSATYN1_prins,1,0,False,17.6,2.5,3.26,0.191,93.8,3.2,469.1,11.5,0.926,0.698,1.31,0.185,0.0015,0.00278,0.00197,0.0015,0.00278,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
98,T. aestivum SATYN2,aestivumSATYN2_prins,1,0,False,17.9,2.8,3.33,0.195,96.2,3.8,465.4,11.3,0.905,0.66,1.34,0.187,0.00143,0.00286,0.00194,0.00143,0.00286,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
99,T. aestivum SATYN3,aestivumSATYN3_prins,1,0,False,15.7,2.2,3.64,0.213,92.9,5.9,379,13.5,0.948,0.692,1.37,0.232,0.00184,0.00358,0.0025,0.00184,0.00358,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
100,T. dicoccon1,dicoccon1_prins,1,0,False,15.4,2.1,3.55,0.208,94.1,3.8,398.7,10.5,0.975,0.738,1.38,0.23,0.00186,0.00343,0.00245,0.00186,0.00343,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
101,T. dicoccon2,dicoccon2_prins,1,0,False,13.5,2.3,3.57,0.209,90.9,1.7,397,21.9,1.16,0.829,1.79,0.265,0.00213,0.00445,0.00292,0.00213,0.00445,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
102,T. dicoccon3,dicoccon3_prins,1,0,False,16.8,2.5,3.36,0.197,95.2,4.2,455.5,37.3,0.959,0.674,1.42,0.2,0.00156,0.00304,0.00211,0.00156,0.00304,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
103,T. dicoccon4,dicoccon4_prins,1,0,False,18.6,2.7,3.55,0.208,93.8,3.2,484.6,48.8,0.989,0.684,1.47,0.191,0.00153,0.00291,0.00204,0.00153,0.00291,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
104,T. monococcum,monococcum_prins,1,0,False,14,2.1,3.18,0.186,104,4.1,401,21.1,0.875,0.638,1.29,0.226,0.00162,0.00317,0.00218,0.00162,0.00317,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
105,T. timonovum,timonovum_prins,1,0,False,16.8,3.3,3.48,0.204,101,3.2,495.1,34.7,1.03,0.693,1.68,0.208,0.00145,0.00336,0.00207,0.00145,0.00336,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
106,T. timopheevii,timopheevii_prins,1,0,False,16.2,2.3,3.43,0.201,102,2.8,429,4.6,0.895,0.674,1.26,0.212,0.00157,0.00293,0.00208,0.00157,0.00293,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
107,Triticale (Cando),triticale_cando_prins,1,0,False,16.1,2.4,3.62,0.212,99.7,5.1,384,4.7,0.869,0.639,1.27,0.225,0.00167,0.0033,0.00226,0.00167,0.0033,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
108,Triticale (Rotego),triticale_rotego_prins,1,0,False,15.1,2.4,3.46,0.203,96.8,3.1,368.7,11.5,0.873,0.635,1.31,0.229,0.00173,0.00354,0.00236,0.00173,0.00354,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
109,Triticale (Talentro),triticale_talentro_prins,1,0,False,15.8,2.8,3.36,0.197,95.2,2.6,435.5,6.7,0.977,0.698,1.52,0.214,0.00161,0.00349,0.00224,0.00161,0.00349,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
110,Spinacia oleracea,oleracea_read,1,0,,,,,,77.2,1.4,,,,,,,,,,,,,,25,8,1,C3 plants,,Read 1994,8031129,"Read, B. A., and Tabita, F. R. (1994). High substrate specificity factor ribulose bisphosphate carboxylase/oxygenase from eukaryotic marine algae and properties of recombinant cyanobacterial RubiSCO containing “algal” residue modifications. Arch. Biochem. Biophys. 312, 210–218."
111,Chenopodium alba,alba_savir,0,0,,11.2,2.8,2.91,0.07,78.7,1,415,16,1.37,0.906,2.72,0.258,0.0022,0.00656,0.00328,0.0022,0.00656,,,25,,1,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
112,Flaveria pringlei,pringlei_savir,0,0,,12,2.1,3.11,0.2,80.8,1.2,666,28,2.13,1.52,3.34,0.259,0.00231,0.00498,0.0032,0.00231,0.00498,,,25,,1,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
