,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
51,Aegilops tauschii,tauschii_prins,1,0,False,14.9,1.8,2.86,0.167,107,8.3,495,27.5,0.897,0.654,1.27,0.89,,0.192,0.15,0.258,0.00181,0.00135,0.00251,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
52,T. monococcum,monococcum_prins,1,0,False,14,2.1,3.18,0.186,104,4.1,401,21.1,0.878,0.64,1.28,0.88,,0.228,0.171,0.327,0.0022,0.00164,0.00318,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
53,Triticale (Rotego),triticale_rotego_prins,1,0,False,15.1,2.4,3.46,0.202,96.8,3.1,368.7,11.5,0.875,0.638,1.31,0.87,,0.229,0.17,0.339,0.00237,0.00174,0.00353,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
54,Triticale (Cando),triticale_cando_prins,1,0,False,16.1,2.4,3.62,0.212,99.7,5.1,384,4.7,0.868,0.648,1.26,0.87,,0.224,0.17,0.322,0.00226,0.00169,0.00327,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
55,Aegilops juvenalis,juvenalis_prins,1,0,False,20.6,3.8,3.25,0.19,90.4,6.4,492,21.5,0.863,0.595,1.39,0.86,,0.158,0.113,0.247,0.00176,0.00122,0.00279,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
56,Amaranthus edulis,edulis_savir,0,0,,18.2,3.6,4.14,0.19,77.5,0.2,289,9,0.85,0.594,1.39,0.848,,0.228,0.161,0.372,0.00294,0.00208,0.00479,,,25,,1,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
57,Aegilops vavilovii,vavilovii_prins,1,0,False,13.3,1.9,3.32,0.194,109,3,362.6,26.9,0.832,0.603,1.2,0.83,,0.249,0.189,0.351,0.0023,0.00173,0.00324,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
58,S. cereale cv. Agronom,cereale_agronom_prins,1,0,False,20.2,2.1,3.23,0.189,91.5,4.1,472.4,12.9,0.827,0.646,1.08,0.82,,0.16,0.128,0.205,0.00175,0.00137,0.00228,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
59,Galdieria sulfuraria,sulfuraria_savir,0,0,,3.3,0.4,1.2,0.1,166,6,374,92,0.81,0.405,1.36,0.819,,0.363,0.275,0.495,0.00219,0.00165,0.003,92,7.29,25,8.3,1,Red algae,From Whitney PlantJ 2001,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
60,Galdieria sulfuraria,sulfuraria_whitney,,0,,3.3,0.4,1.2,0.1,166,6,374,92,0.819,0.4,1.37,0.819,,0.364,0.276,0.494,0.0022,0.00164,0.003,92,9,25,,1,Red algae,,Whitney 2001,26662726,"Whitney SM, Baldet P, Hudson GS, Andrews TJ. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J. 2001 Jun;26(5):535-47."
61,Chaetoceros calcitrans (CCMP 1315),calcitransCCMP1315_young,1,0,False,25,1,2.6,0.2,57,11,413,53,0.75,0.466,1.28,0.8,,0.104,0.0867,0.122,0.00183,0.00126,0.00295,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
62,Tisochrysis lutea,lutea_heureux,1,0,False,24.1,0.5,2.2,0.1,89,1,800,55,0.82,0.686,0.963,0.8,,0.0913,0.0824,0.1,0.00103,0.000922,0.00113,,,25,8.16,1,Haptophyte algae,"Methods same as Sharwood 2016 - assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply",Heureux 2017,28582571,"Heureux, Ana M. C., Jodi N. Young, Spencer M. Whitney, Maeve R. Eason-Hubbard, Renee B. Y. Lee, Robert E. Sharwood, and Rosalind E. M. Rickaby. 2017. “The Role of Rubisco Kinetics and Pyrenoid Morphology in Shaping the CCM of Haptophyte Microalgae.” Journal of Experimental Botany 68 (14):3959–69."
63,Prochlorococcus marinus MIT9313,marinus_shih,1,0,E. coli,309,24,6.58,0.25,59.9,7,1400,300,0.496,0.273,0.8,0.78,0.49,0.0213,0.0181,0.0255,0.000357,0.000273,0.000487,,,25,8,1,Cyanobacteria,,Shih 2016,26790750,"Shih, Patrick M., Alessandro Occhialini, Jeffrey C. Cameron, P. John Andralojc, Martin A. J. Parry, and Cheryl A. Kerfeld. 2016. “Biochemical Characterization of Predicted Precambrian RuBisCO.” Nature Communications 7 (January). Nature Publishing Group:10382."
64,Synechococcus sp. PCC 6301,6301_savir,0,0,,340,12,11.6,0.4,43,1,972,26,0.77,0.684,0.87,0.771,,0.0341,0.031,0.0375,0.000793,0.000713,0.000882,,,25,,1,Cyanobacteria,"Sage RF, Seemann JR. Regulation of Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase Activity in Response to Reduced Light Intensity in C4 Plants. Plant Physiol. 1993 May;102(1):21-28.",Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
65,Aegilops triuncialis,triuncialis_prins,1,0,False,12.8,2.2,2.62,0.153,103,5.9,380,8.8,0.758,0.538,1.18,0.76,,0.204,0.148,0.314,0.00199,0.00142,0.00311,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
66,Aegilops comosa,comosa_prins,1,0,False,13.5,2.1,2.86,0.167,106,4.3,359.5,9,0.721,0.534,1.08,0.73,,0.212,0.159,0.311,0.00201,0.00149,0.00298,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
67,Pleurochrysis carterae,pleur_carterae_heureux,1,0,False,17.7,0.5,3.3,0.4,102,1,366,60,0.659,0.418,0.968,0.7,,0.186,0.141,0.231,0.00183,0.00138,0.00227,,,25,8.16,1,Haptophyte algae,"Methods same as Sharwood 2016 - assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Heureux 2017,28582571,"Heureux, Ana M. C., Jodi N. Young, Spencer M. Whitney, Maeve R. Eason-Hubbard, Renee B. Y. Lee, Robert E. Sharwood, and Rosalind E. M. Rickaby. 2017. “The Role of Rubisco Kinetics and Pyrenoid Morphology in Shaping the CCM of Haptophyte Microalgae.” Journal of Experimental Botany 68 (14):3959–69."
68,Chaetoceros calcitrans (CS-178),calcitransCS178_young,1,0,False,31,2,3.4,0.6,75,1,490,54,0.71,0.436,1.05,0.7,,0.109,0.07,0.152,0.00146,0.000932,0.00203,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
69,Flaveria australasica,australasica_savir,0,0,,22,4.7,3.84,0.03,77.2,0.3,309,17,0.7,0.487,1.21,0.699,,0.175,0.123,0.299,0.00226,0.0016,0.00388,,,25,,1,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
70,Thiobacillus denitrificans II,denitrificans_FII_hernandez,1,0,R. sphaeroides,256,61,3.5,0.205,13.3,0.8,619,237,0.644,0.157,1.49,0.636,,0.0136,0.00916,0.0263,0.00103,0.000674,0.002,13.3,1.9,25,8,2,Betaproteobacteria,Almost certainly not carboxysomal. Not 100% on temp (table 2 gives specificity factor of 14),Hernandez 1996,8550452,"Hernandez, J. M., Baker, S. H., Lorbach, S. C., Shively, J. M., and Tabita, F. R. (1996). Deduced amino acid sequence, functional expression, and unique enzymatic properties of the form I and form II ribulose bisphosphate carboxylase/oxygenase from the chemoautotrophic bacterium Thiobacillus denitrificans. J. Bacteriol. 178, 347–356."
71,B. distachyon,distachyon_prins,1,0,False,11.9,2.5,2.05,0.12,111,4,395.7,18.8,0.616,0.417,1.07,0.62,,0.173,0.119,0.297,0.00156,0.00107,0.00271,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
72,Thiobacillus denitrificans IA,denitrificans_FIA_hernandez,1,0,R. sphaeroides,138,5.1,1.9,0.111,42.7,1.6,1637,650,0.527,0.112,0.956,0.528,,0.0138,0.012,0.0157,0.000323,0.000276,0.000375,43,0.9,25,8,1,Betaproteobacteria,Points to read & tabita 1992 for methods. Probably carboxysomal. Not 100% on temp  (table 2 gives specificity factor of 46),Hernandez 1996,8550452,"Hernandez, J. M., Baker, S. H., Lorbach, S. C., Shively, J. M., and Tabita, F. R. (1996). Deduced amino acid sequence, functional expression, and unique enzymatic properties of the form I and form II ribulose bisphosphate carboxylase/oxygenase from the chemoautotrophic bacterium Thiobacillus denitrificans. J. Bacteriol. 178, 347–356."
73,Phaeodactylum tricornutum,triconutum_savir,0,0,,27.9,0.4,3.4,0.1,113,1,467,22,0.504,0.447,0.562,0.504,,0.122,0.114,0.13,0.00108,0.00101,0.00115,56,4.44,25,8.3,1,Diatoms,From Whitney PlantJ 2001,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
74,Phaeodactylum tricornutum,triconutum_whitney,,0,,27.9,0.4,3.4,0.1,113,1,467,22,0.504,0.447,0.562,0.504,,0.122,0.114,0.13,0.00108,0.00101,0.00115,56,6,25,,1,Diatoms,,Whitney 2001,26662726,"Whitney SM, Baldet P, Hudson GS, Andrews TJ. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J. 2001 Jun;26(5):535-47."
75,Chaetoceros muelleri (CCMP 1316),muelleri_young,1,0,False,23,1.5,2.4,0.3,96,2,425,67,0.459,0.289,0.673,0.5,,0.104,0.0765,0.135,0.00109,0.000798,0.00141,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
76,Phaeodactylum tricornutum (UTEX 642),tricornutumUTEX642_young,1,0,False,36,1,3.2,0.9,108,2,592,44,0.486,0.214,0.77,0.5,,0.0891,0.0396,0.138,0.000825,0.000366,0.00128,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
77,Phaeodactylum tricornutum (CS-29),tricornutumCS29_young,1,0,False,41,1,3.3,0.6,116,2,664,54,0.458,0.291,0.647,0.5,,0.0805,0.0524,0.109,0.000694,0.000451,0.000943,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
78,Fragilariopsis cylindrus (CCMP 1102),cylindrus_young,1,0,False,64,8,3.5,0.3,77,1,667,255,0.473,0.113,0.909,0.5,,0.0547,0.041,0.0755,0.00071,0.000534,0.000984,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
79,Thalassiosira oceania (CS-427),oceania_young,1,0,False,65,5,2.4,0.4,80,2,954,228,0.433,0.21,0.738,0.4,,0.0369,0.0245,0.051,0.000462,0.000303,0.000644,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
80,Thermococcus kodakaraensis,kodakarensis_yoshida,1,0,,52.3,6,0.25,0.0146,11,1,900,90,0.391,0.275,0.572,0.38,,0.00479,0.00378,0.00631,0.000436,0.000325,0.000611,,,25,8.3,3,Archaea,"Reported KRuBP <0.5, moved here because this is not a real value",Yoshida 2007,,"Yoshida, Shosuke, Haruyuki Atomi, and Tadayuki Imanaka. 2007. “Engineering of a Type III Rubisco from a Hyperthermophilic Archaeon in Order to Enhance Catalytic Performance in Mesophilic Host Cells.” Applied and Environmental Microbiology 73 (19):6254–61."
81,C. fusiformis,fusiformis_read,1,0,,36,1,1.95,0.114,111,9,568,99,0.276,0.176,0.399,0.278,,0.0542,0.0474,0.061,0.000489,0.0004,0.000605,7.8,1.5,25,8,1,Chromophyte algae,,Read 1994,8031129,"Read, B. A., and Tabita, F. R. (1994). High substrate specificity factor ribulose bisphosphate carboxylase/oxygenase from eukaryotic marine algae and properties of recombinant cyanobacterial RubiSCO containing “algal” residue modifications. Arch. Biochem. Biophys. 312, 210–218."
82,Olisthodiscus luteus,luteus_read,1,0,,59,4,0.83,0.0485,100,5.8,692,121,0.0964,0.0607,0.14,0.0969,,0.0141,0.0118,0.0168,0.00014,0.000113,0.000173,23.5,3,25,8,1,Chromophyte algae,,Read 1994,8031129,"Read, B. A., and Tabita, F. R. (1994). High substrate specificity factor ribulose bisphosphate carboxylase/oxygenase from eukaryotic marine algae and properties of recombinant cyanobacterial RubiSCO containing “algal” residue modifications. Arch. Biochem. Biophys. 312, 210–218."
83,Methanococcoides burtonii,burtonii_tobacco_wilson,1,0,Tobacco,56.9,1.8,0.6,0.1,1.3,0.1,11.2,1.4,0.09,0.0551,0.137,0.09,,0.0105,0.00713,0.0142,0.00811,0.00538,0.0114,4,0.5,25,7.2 or 8.0,2_3,Archaea,,Wilson 2016,,"Wilson, Robert H., Hernan Alonso, and Spencer M. Whitney. 2016. “Evolving Methanococcoides Burtonii Archaeal Rubisco for Improved Photosynthesis and Plant Growth.” Scientific Reports 6 (March):22284."
84,Methanococcoides burtonii,burtonii_coli_alonso,1,0,E. coli,130,4,2,0.1,1.18,0.05,2.5,0.3,0.0325,0.0239,0.0422,0.03,,0.0154,0.0137,0.0172,0.013,0.0113,0.015,0.13,0.02,25,7,2_3,Archaea,,Alonso 2009,19837658,"Alonso, Hernán, Michelle J. Blayney, Jennifer L. Beck, and Spencer M. Whitney. 2009. “Substrate-Induced Assembly of Methanococcoides Burtonii D-Ribulose-1,5-Bisphosphate Carboxylase/oxygenase Dimers into Decamers.” The Journal of Biological Chemistry 284 (49):33876–82."
85,Flaveria kochiana,kochiana_kubien,1,0,False,22.7,2.7,3.68,0.08,77,1.2,150,13,0.317,0.237,0.429,,,0.163,0.13,0.212,0.00211,0.00169,0.00277,14.3,0.6,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
86,Zea mays ,mays_kubien,1,0,False,21.2,4.1,4.05,0.04,74.9,0.5,157,3,0.401,0.29,0.65,,,0.191,0.138,0.309,0.00255,0.00185,0.00412,26.2,1.3,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
87,Crithmum maritimum,maritimum_galmes,1,0,False,8.7,0.1,3.4,0.1,,,183,31,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
88,Flaveria palmeri ,palmeri_kubien,1,0,False,13.5,0.9,3.54,0.16,83.8,1,193,5,0.604,0.512,0.716,,,0.262,0.226,0.309,0.00313,0.00269,0.00368,16.7,0.8,25,8,1,C4-like plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
89,Rhodobacter sphaeroides II,rhodopseudomonas_sphaeroides_FII_jordan81,1,0,False,80,7.04,,,9,1,220,28.7,,,,,,,,,,,,,,25,8.3,2,Alphaproteobacteria,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23. rhodobacter sphaeroides = rhodopseudomonas sphaeroides. ",Jordan 1981,https://doi.org/10.1038/291513a13,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
90,Rhodobacter sphaeroides II,rhodopseudomonas_sphaeroides_FII_savir,0,0,,80,5,,,9,1,220,26,,,,,,,,,,,,,,25,,2,Alphaproteobacteria,rhodobacter sphaeroides = rhodopseudomonas sphaeroides.,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
91,Nicotiana tabacum L. cv. W38,tabacum_W38_von_caemmerer,,,,8.6,1.7,3.53,0.18,97.5,3.046384135191153,226,29.4,0.951,0.607,1.62,,,0.412,0.291,0.673,0.00422,0.00298,0.00691,,,25,8,1,C3 plants,gw = 0.3 = conductance for CO2 transfer from the substomatal cavities to the sites of carboxylation = 0.3,von Caemmerer 1994,,"Susanne von Caemmerer, John R. Evans, Graham S. Hudson and T. John Andrews, The kinetics of ribulose-1,5-bisphosphate carboxylase/oxygenase in vivo inferred from measurements of photosynthesis in leaves of transgenic tobacco, Planta, November 1994, Volume 195, Issue 1, pp 88–97"
92,Eucalyptus neglecta,neglecta_galmes,1,0,False,7.9,0.2,2.5,0.1,,,230,12,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
93,Echeveria elegans,elegans_galmes,1,0,False,10.5,0.7,4.5,0.2,,,236,27,,,,,,,,,,,,,,25,8,1,CAM plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
94,Eucalyptus moorei,moorei_galmes,1,0,False,10,0.3,3.2,0.1,,,285,11,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
95,Amaranthus edulis,edulis_kubien,1,0,False,18.2,3.6,4.14,0.19,77.5,0.2,289,9,0.847,0.6,1.41,,,0.227,0.162,0.378,0.00293,0.00209,0.00488,6.9,0.7,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
96,Limonium magallufianum,magallufianum_galmes,1,0,False,7,0.3,2.6,0.1,111,2.9,297,26,0.998,0.795,1.22,,,0.371,0.332,0.415,0.00336,0.00297,0.0038,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
97,Flaveria australasica,australasica_kubien,1,0,False,22,4.7,3.84,0.03,77.2,0.3,309,17,0.698,0.48,1.2,,,0.175,0.122,0.297,0.00226,0.00159,0.00386,14.7,1.5,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
98,Nicotiana tabacum L. cv. W38,tabacum_W38_von_caemmerer,,,,13.5,1.7,3.64,0.22,102,3.186986479892283,313,40.8,0.826,0.554,1.22,,,0.27,0.208,0.368,0.00265,0.00203,0.00362,,,25,8,1,C3 plants,gw = ∞ = conductance for CO2 transfer from the substomatal cavities to the sites of carboxylation,von Caemmerer 1994,,"Susanne von Caemmerer, John R. Evans, Graham S. Hudson and T. John Andrews, The kinetics of ribulose-1,5-bisphosphate carboxylase/oxygenase in vivo inferred from measurements of photosynthesis in leaves of transgenic tobacco, Planta, November 1994, Volume 195, Issue 1, pp 88–97"
99,Carpobrotus edulis,edulis_galmes,1,0,False,9.5,0.2,3.6,0.1,,,313,17,,,,,,,,,,,,,,25,8,1,CAM plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
100,Limonium biflorum,biflorum_galmes,1,0,False,8,0.3,2.4,0.1,112,1.8,316,19,0.847,0.715,0.999,,,0.3,0.269,0.335,0.00268,0.00239,0.00301,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
101,Ceratophyllum demersum,demersum_galmes,1,0,False,13.6,0.5,3.5,0.2,,,317,13,,,,,,,,,,,,,,25,8,1,Macroalgae,Aquatic macrophyte using HCO3−,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
